#station,latitude,longitude,elevevation
BILL,33.5782451994709,-117.064604523518,470.050801844297
BIS0,4.89100290799454,-75.3359810215933,5088.39279848297
BKAP,35.2870468600398,-116.080426440787,252.046471950238
BKMS,33.9622603913985,-118.094703301985,11.0027879033743
BLA1,37.2113487078776,-80.4205088941642,605.704439992919
BLAS,79.5386084998355,-22.9747231714877,484.076033828494
BLDF,-77.72374,162.25795,100
BLW2,42.7671265378444,-109.557803272763,2215.58772397055
BLYN,48.0160570947603,-122.927541044366,613.253468065891
BMCL,28.65583,28.65583,2241
BMHL,34.2514447323876,-116.052979820425,722.649848030714
BOAR,-75.043891,-100.592665,72.8
BOM2,-77.5089,167.4402,1966
BON2,9.76453034766104,-85.2025083709877,28.3660394444333
BOZ1,40.534524,28.782045,70
BRN2,26.51964,87.27206,79
BRSG,32.3704027777778,-64.6963583333333,-10
BSA1,-67.81604,-67.29071,127.6
BSRY,34.9186126466198,-117.011995505527,613.501813112643
BTDM,34.2928077272943,-118.188230771023,678.26380948006
BUMS,-85.961,174.498,2648.9
BURI,-79.14744459,155.89416908,2007
BURN,42.7795007310792,-117.84353153702,1180.90174798724
BUY1,40.839997,29.123121,47
BVPP,35.1572770863669,-119.347510459602,123.048559522011
BYSP,18.4078376070664,-66.1611984871641,49.2427254975585
BZBN,40.534524,28.782045,70
CABA,10.2378729259657,-85.3435341447652,26.9561364286295
CABL,42.8360994048206,-124.563346430772,37.8630516257735
CALV,12.5724454372071,-86.8456060867721,287.430211159938
CAMO,39.34031667,16.44923333,1269
CAND,35.9393532205056,-120.433699452422,568.420630460802
CANZ,8.199626,-81.522229,372.0308
CAPF,-66.0121,-60.5584,100.3
CAPI,5.35142404553458,-72.4277576655399,935.49990689909
CARH,35.8883866155628,-120.430825848758,480.281192055338
CASE,33.4553518069123,-117.403985893961,776.51018525824
CAST,39.1910215445004,-110.677315100764,2245.04648059672
CAT2,33.3116192988783,-118.333820876572,477.243838505275
CAT3,33.4457641206401,-118.483010510931,5.14949601630732
CBHS,34.1385635913245,-118.629810067983,284.627583853261
CBMD,19.737976104065,-79.7582584167852,18.7686592707635
CCCC,35.5653147287037,-117.671175673043,813.979071207908
CCRI,39.22617494,16.77561869,708.88
CDMT,34.8294670476253,-116.3359332904,936.593249208134
CDVV,34.2541537492869,-106.969774552108,1552.02766037659
CEDA,40.6806948253389,-112.860483498769,1472.50182632799
CGDM,34.2439943969978,-117.964949949086,704.706083329239
CGSJ,-31.3743884,-69.416241,1461.4
CGUI,12.9763060622698,-87.5587437323962,746.118367374714
CHIS,15.8122549014514,-90.291355132747,241.996205665753
CHLL,40.447,-104.638,1408.87
CHMS,34.6404633354768,-117.827704551814,760.331900638815
CHNR,24.18975,91.51504,-24.356
CHUM,42.998501179,74.751099499,716.3321
CHWN,27.668056,84.385278,137
CHZZ,45.4865152817583,-123.978123925792,50.7719366300867
CIRX,34.1095560152986,-118.937300522002,488.218754030792
CJTR,34.8216949265522,-92.2730385715049,126.002333225295
CLBD,33.1353874763633,-117.310979356497,20.6117324277989
CLGO,64.8737720308654,-147.860488620923,196.106906610634
CLOV,40.5583838302731,-114.874190771555,2084.93929318002
CLRK,-77.34008,-141.8738169,1000.853
CN00,17.6685247341338,-61.7855784532707,-21.9163570338235
CN01,17.0484193439083,-61.7653675587721,16.6430768711923
CN02,18.2039238036353,-63.0540685624075,-8.93267857559891
CN04,14.023547971262,-60.9738983311477,24.4356506667762
CN05,18.5639019961607,-68.3593926810784,-33.2298308952552
CN06,18.789825240391,-70.6561100664546,2311.74702272907
CN07,19.757631099727,-70.5658516426267,-32.2490501761803
CN09,19.6877463341612,-72.1398185275082,-15.0071443443524
CN10,17.4151910072587,-75.9705522256182,-16.3119601134008
CN11,17.021180351644,-77.7841171535053,-10.6725970503379
CN12,18.0044820824055,-76.7490514517422,169.948152652196
CN13,24.0651857437138,-74.5337843325535,-34.5729444702306
CN14,20.9753290312009,-73.6779510893383,-34.2043587435703
CN15,26.5566559858479,-78.693084343665,-27.5408528334955
CN16,21.4222965509666,-77.8497654322777,106.749138612689
CN18,17.4076729359332,-83.9443278635467,1.4566838047585
CN19,12.6118489119092,-70.0485006890697,-0.330660460332758
CN20,9.35167634550566,-82.2562662681073,13.1921935751725
CN21,13.4027402271382,-87.4270955617015,15.8223999456419
CN22,12.3840936149959,-87.0446888669197,28.8158034118497
CN23,17.2606072404781,-88.7787578165164,55.3604098178269
CN24,19.5755621442169,-88.0539050202782,7.94208953919931
CN25,16.232043231953,-92.1352413556928,1649.27847602465
CN26,22.3829963014392,-89.6823856066245,-12.1678954728612
CN27,19.6671181292848,-69.9398097187991,-21.1106412007595
CN28,8.62506477842339,-79.0337183664222,25.9072654862439
CN29,14.0487967460019,-83.3746376438554,30.3844665558862
CN30,11.9935514245086,-83.7720475986753,29.91214
CN35,13.3754958053991,-81.3629200823572,47.8992824037634
CN36,8.81962038917211,-75.8211360520831,15.3452308677974
CN37,10.7925778699201,-75.2631748260405,1.47419408159697
CN38,12.2218217411495,-71.988026069177,10.5006259467144
CN39,10.2064804717774,-70.5236555704662,542.277411642611
CN40,12.1800443636498,-68.9580137701397,33.3490390544624
CN41,8.94345543887737,-68.0414958364871,81.2829050875213
CN42,11.9526505365203,-66.682263514282,-3.65400909764285
CN43,11.8187915,-64.5980617,2
CN44,11.0004574468334,-63.9102961485644,835.954441037657
CN45,10.837067418957,-60.9383153517058,-5.55034255068579
CN46,12.4868344051254,-61.4269881544714,-22.58546
CN47,13.7107868458067,-60.9404950225718,177.16230644953
CN48,15.4388127407294,-61.4216416566459,279.880669624437
CN49,15.6671879892804,-63.6182605255457,-31.5232679780216
CN51,18.5865654394044,-63.4265202174624,-35.0770043257227
CN53,21.7826517783308,-72.2538668545804,-15.6437830713833
CN55,8.24326947185126,-80.5393390506367,44.6673894646481
CN56,8.54907732844775,-78.0148293839418,76.7192755581223
CNC0,21.1746532368608,-86.820900822529,-0.217525268926711
CNG2,12.5011765385017,-86.6993376379033,513.545783629452
